id_pedido,fecha,hora,distrito,categoria_restaurante,monto_soles,tiempo_entrega_min,calificacion
1780,2026-01-28,19,Miraflores,Criolla,38.44,,3.0
496,2026-03-21,13,La Molina,Postres,15.56,53.0,2.0
791,2026-02-18,19,San Borja,Saludable,46.34,32.0,3.0
573,2026-02-08,13,La Molina,Criolla,40.3,57.0,2.0
2191,2025-07-23,12,Miraflores,Criolla,29.46,,5.0
1711,2025-11-20,18,Miraflores,Saludable,52.91,22.0,5.0
832,2026-02-05,20,Miraflores,Pizza,34.5,31.0,4.0
430,2025-10-05,21,Surco,Postres,19.98,26.0,4.0
2620,2025-08-27,11,La Molina,Comida rápida,35.42,,4.0
2008,2025-05-20,12,San Isidro,Criolla,57.49,36.0,4.0
569,2025-08-08,13,La Molina,Saludable,58.35,56.0,
103,2025-09-16,19,Miraflores,Pizza,45.41,33.0,3.0
1584,2026-03-25,11,San Isidro,Criolla,28.91,32.0,5.0
2287,2025-12-16,13,Miraflores,Criolla,45.38,26.0,4.0
2013,2025-06-04,19,Surco,Pizza,37.38,26.0,5.0
2663,2025-05-30,16,Miraflores,Pizza,44.71,30.0,4.0
2824,2026-02-21,13,San Borja,Comida rápida,35.53,38.0,4.0
1180,2025-07-14,4,San Borja,Comida rápida,38.52,33.0,5.0
52,2025-12-28,19,San Isidro,Saludable,55.73,35.0,5.0
508,2025-06-02,22,Miraflores,Pizza,74.58,32.0,5.0
1018,2025-06-07,19,San Borja,Comida rápida,37.77,38.0,4.0
1092,2025-05-05,14,Surco,Pizza,58.9,28.0,4.0
64,2025-05-02,12,Surco,Comida rápida,36.59,46.0,3.0
945,2026-02-01,11,San Isidro,Postres,24.16,55.0,3.0
2376,2025-10-05,20,Miraflores,Pizza,52.59,41.0,3.0
45,2025-05-21,13,San Borja,Criolla,46.4,28.0,3.0
2708,2025-11-02,3,Miraflores,Criolla,58.39,25.0,
1511,2026-01-27,18,Miraflores,Saludable,47.61,41.0,3.0
255,2025-09-28,20,Miraflores,Criolla,47.08,41.0,3.0
322,2026-02-08,1,Miraflores,Postres,37.18,38.0,4.0
2805,2025-07-08,12,Surco,Criolla,46.35,26.0,4.0
2938,2025-09-20,13,La Molina,Pizza,26.2,67.0,3.0
706,2025-12-06,12,Surco,Saludable,64.1,35.0,4.0
2271,2026-04-18,19,San Borja,Comida rápida,37.64,47.0,3.0
2125,2025-05-03,1,Surco,Saludable,46.74,,3.0
2862,2025-10-25,13,Surco,Saludable,28.16,43.0,4.0
2590,2025-10-11,14,San Isidro,Comida rápida,26.37,16.0,4.0
810,2025-10-31,19,San Isidro,Comida rápida,31.44,28.0,4.0
1452,2025-06-16,10,Miraflores,Criolla,45.96,25.0,5.0
140,2026-04-17,12,Surco,Postres,21.6,46.0,4.0
2575,2026-01-11,19,Surco,Comida rápida,26.85,44.0,2.0
582,2025-06-22,12,San Borja,Comida rápida,24.42,35.0,4.0
2606,2025-09-30,20,San Isidro,Comida rápida,24.39,31.0,3.0
810,2025-10-31,19,San Isidro,Comida rápida,31.44,28.0,4.0
2592,2026-04-12,21,Miraflores,Criolla,54.06,19.0,4.0
1823,2026-04-18,0,San Isidro,Comida rápida,35.59,40.0,5.0
1476,2025-08-16,20,Surco,Postres,16.0,45.0,4.0
1892,2025-09-27,18,Surco,Comida rápida,20.8,35.0,5.0
1428,2026-03-01,13,La Molina,Comida rápida,30.73,49.0,2.0
2586,2025-11-06,19,Surco,Criolla,57.13,43.0,3.0
135,2025-05-15,19,San Borja,Postres,18.96,46.0,2.0
742,2025-05-06,22,Miraflores,Comida rápida,31.21,28.0,5.0
965,2025-05-06,13,Surco,Criolla,43.21,41.0,3.0
150,2025-05-29,19,Miraflores,Pizza,53.97,46.0,
241,2025-09-25,11,San Isidro,Comida rápida,35.89,23.0,
1767,2025-05-27,3,Surco,Comida rápida,28.76,48.0,4.0
1897,2025-06-28,11,Surco,Postres,23.81,33.0,4.0
2322,2025-05-03,19,La Molina,Criolla,52.79,68.0,2.0
175,2025-12-11,23,San Borja,Comida rápida,21.4,38.0,4.0
53,2026-01-20,13,Miraflores,Criolla,54.66,31.0,3.0
1147,2026-03-24,13,Surco,Saludable,38.55,35.0,4.0
145,2025-12-08,11,San Borja,Criolla,48.39,30.0,5.0
332,2025-12-06,3,La Molina,Comida rápida,28.42,64.0,1.0
247,2025-11-15,21,La Molina,Comida rápida,36.05,51.0,2.0
1972,2026-02-11,18,Miraflores,Saludable,55.89,18.0,5.0
2485,2025-05-13,9,Surco,Saludable,30.19,36.0,4.0
1621,2025-11-02,13,Surco,Saludable,25.13,33.0,4.0
558,2026-04-20,5,La Molina,Saludable,45.53,56.0,1.0
252,2026-04-25,19,Surco,Comida rápida,28.94,53.0,2.0
1117,2026-02-16,19,La Molina,Criolla,38.34,35.0,4.0
1878,2025-09-24,19,San Isidro,Pizza,55.5,43.0,3.0
2523,2025-05-29,13,La Molina,Criolla,38.09,65.0,1.0
212,2025-12-10,20,Miraflores,Comida rápida,33.43,30.0,5.0
1,2025-08-11,20,La Molina,Comida rápida,36.88,46.0,3.0
1477,2025-11-04,17,San Borja,Comida rápida,25.17,27.0,5.0
1554,2026-03-26,19,San Borja,Saludable,36.49,31.0,5.0
1296,2025-08-27,21,Miraflores,Postres,21.55,21.0,5.0
566,2025-11-03,2,La Molina,Postres,15.18,52.0,2.0
1235,2025-12-08,11,San Isidro,Criolla,32.28,20.0,5.0
1625,2026-04-19,12,Surco,Saludable,33.36,37.0,3.0
2915,2025-07-05,4,La Molina,Saludable,50.02,39.0,5.0
790,2025-12-12,23,Surco,Criolla,68.74,28.0,5.0
813,2026-04-05,17,Surco,Criolla,47.04,43.0,3.0
267,2025-09-17,14,Surco,Saludable,41.01,39.0,4.0
2798,2025-11-14,12,San Borja,Criolla,34.29,40.0,4.0
323,2026-03-13,11,Miraflores,Pizza,65.12,17.0,5.0
33,2025-11-04,11,Miraflores,Pizza,38.8,26.0,4.0
371,2026-01-01,18,San Isidro,Criolla,88.53,23.0,5.0
2464,2025-08-24,13,Miraflores,Pizza,69.31,45.0,3.0
15,2025-09-29,13,La Molina,Pizza,49.42,57.0,3.0
94,2026-02-25,21,San Isidro,Pizza,46.44,24.0,4.0
2758,2025-10-20,19,San Isidro,Comida rápida,37.94,36.0,3.0
880,2025-10-27,2,La Molina,Saludable,28.25,48.0,4.0
643,2025-12-06,11,Miraflores,Postres,29.15,46.0,
2098,2025-05-19,19,Miraflores,Comida rápida,45.42,36.0,4.0
1603,2025-09-01,5,San Borja,Saludable,30.76,14.0,5.0
1107,2026-01-16,20,Miraflores,Postres,18.47,36.0,5.0
757,2025-06-20,20,San Isidro,Comida rápida,43.47,33.0,4.0
1076,2025-10-26,11,Miraflores,Comida rápida,38.48,21.0,5.0
431,2025-09-24,12,San Isidro,Comida rápida,31.69,38.0,4.0
451,2025-09-03,14,Miraflores,Comida rápida,29.58,36.0,5.0
2003,2025-08-16,13,San Borja,Saludable,40.04,55.0,3.0
1838,2025-09-20,18,San Borja,Comida rápida,17.96,40.0,4.0
1689,2025-06-29,14,Miraflores,Pizza,73.49,17.0,5.0
692,2025-07-29,20,Surco,Comida rápida,28.41,44.0,2.0
2638,2025-09-27,13,San Isidro,Pizza,65.94,33.0,4.0
1850,2025-11-20,19,San Isidro,Comida rápida,36.38,23.0,5.0
1430,2026-03-26,12,San Isidro,Saludable,40.26,35.0,5.0
760,2026-01-15,11,Surco,Pizza,73.65,38.0,3.0
185,2025-10-12,19,Miraflores,Saludable,29.15,43.0,2.0
1236,2025-10-13,19,San Isidro,Criolla,53.78,41.0,4.0
204,2025-07-20,16,Surco,Pizza,59.6,47.0,3.0
802,2025-05-30,13,Miraflores,Criolla,35.01,27.0,5.0
464,2025-10-01,16,Surco,Pizza,59.78,29.0,5.0
1424,2025-05-12,11,Miraflores,Criolla,74.43,33.0,
1178,2025-05-25,20,Surco,Pizza,64.64,34.0,3.0
2415,2025-09-05,14,San Isidro,Criolla,54.31,23.0,4.0
840,2025-08-30,13,Miraflores,Comida rápida,33.72,,4.0
1396,2026-01-05,14,Surco,Pizza,48.22,43.0,
2555,2025-12-18,12,Surco,Criolla,63.33,45.0,2.0
2870,2025-09-20,9,San Borja,Comida rápida,31.43,27.0,3.0
1914,2026-04-29,12,Surco,Criolla,22.4,,4.0
2820,2026-02-04,11,Surco,Comida rápida,27.75,45.0,3.0
195,2025-10-27,20,Surco,Comida rápida,16.46,43.0,3.0
529,2025-08-01,22,Surco,Saludable,37.01,30.0,4.0
2526,2025-12-28,18,Miraflores,Pizza,53.9,25.0,4.0
1211,2025-11-05,14,La Molina,Postres,15.5,42.0,3.0
1810,2025-07-27,10,Surco,Saludable,55.32,34.0,4.0
333,2025-10-05,13,San Isidro,Saludable,44.3,37.0,5.0
2114,2026-03-12,22,San Isidro,Postres,22.68,22.0,5.0
864,2025-11-30,21,La Molina,Criolla,40.6,40.0,3.0
2345,2025-12-12,19,La Molina,Pizza,63.88,38.0,4.0
1816,2026-03-06,14,San Borja,Comida rápida,26.55,25.0,
865,2025-12-25,12,San Isidro,Comida rápida,35.47,40.0,3.0
2224,2025-11-18,12,Miraflores,Criolla,38.78,22.0,5.0
1053,2025-07-28,17,Miraflores,Criolla,40.84,33.0,5.0
696,2025-10-25,19,San Borja,Pizza,46.36,31.0,
1656,2026-01-04,7,Miraflores,Comida rápida,31.64,28.0,4.0
1939,2025-12-11,14,Surco,Criolla,47.23,46.0,4.0
46,2026-03-25,11,Miraflores,Saludable,33.84,20.0,5.0
2168,2026-02-15,14,Miraflores,Postres,28.02,29.0,3.0
545,2025-08-07,19,Miraflores,Saludable,34.98,26.0,3.0
1426,2025-08-09,21,Miraflores,Pizza,44.34,25.0,5.0
2169,2025-09-13,20,Miraflores,Pizza,49.31,29.0,4.0
417,2025-08-11,14,Miraflores,Criolla,45.56,40.0,3.0
1815,2025-07-19,9,Surco,Criolla,52.8,32.0,3.0
1925,2025-07-05,22,Surco,Comida rápida,21.35,40.0,4.0
2080,2025-12-06,12,La Molina,Saludable,46.54,43.0,2.0
193,2025-08-04,12,San Isidro,Comida rápida,42.6,44.0,4.0
2910,2025-05-05,12,La Molina,Comida rápida,32.16,47.0,3.0
2918,2025-09-21,14,San Isidro,Saludable,27.88,45.0,4.0
315,2026-01-19,12,Miraflores,Postres,23.07,35.0,4.0
479,2026-02-13,12,San Borja,Pizza,49.66,38.0,4.0
2365,2026-04-07,13,Miraflores,Comida rápida,35.91,21.0,5.0
355,2025-12-09,11,Surco,Saludable,43.5,,3.0
300,2026-02-13,20,Surco,Pizza,66.12,49.0,2.0
1507,2026-03-14,17,San Isidro,Comida rápida,34.81,23.0,5.0
1365,2025-08-30,13,La Molina,Comida rápida,36.05,66.0,1.0
1243,2026-02-12,18,San Isidro,Pizza,35.94,37.0,4.0
2468,2025-05-07,13,Miraflores,Saludable,54.26,35.0,3.0
728,2025-10-24,13,Surco,Comida rápida,23.89,26.0,4.0
2349,2025-08-22,22,San Isidro,Pizza,87.08,33.0,4.0
1085,2025-08-05,20,San Borja,Saludable,53.37,31.0,4.0
730,2026-04-06,12,Surco,Postres,17.3,36.0,4.0
1955,2025-08-19,12,Miraflores,Saludable,36.54,45.0,2.0
2879,2025-07-08,20,San Isidro,Pizza,54.59,34.0,3.0
843,2025-05-05,19,San Isidro,Pizza,43.87,30.0,4.0
2346,2025-09-19,12,San Borja,Saludable,30.36,39.0,3.0
433,2025-08-28,13,San Isidro,Saludable,40.33,36.0,4.0
2571,2025-12-06,13,Miraflores,Saludable,31.44,16.0,5.0
1358,2025-10-15,13,San Isidro,Pizza,58.77,32.0,5.0
176,2026-02-07,13,Miraflores,Comida rápida,42.77,33.0,4.0
257,2025-08-07,14,San Borja,Saludable,51.03,23.0,4.0
2119,2025-08-10,21,Surco,Saludable,54.69,36.0,5.0
2404,2026-03-06,13,San Isidro,Postres,21.08,37.0,3.0
444,2025-09-06,11,La Molina,Pizza,27.13,40.0,5.0
1337,2026-03-22,13,Miraflores,Saludable,33.19,38.0,4.0
2152,2026-02-05,22,Miraflores,Comida rápida,35.86,22.0,5.0
2298,2025-10-19,5,San Isidro,Comida rápida,41.01,38.0,5.0
1840,2026-03-01,11,Surco,Criolla,44.15,30.0,3.0
2794,2025-08-21,13,La Molina,Pizza,59.69,66.0,1.0
2773,2026-02-25,21,Surco,Comida rápida,31.42,37.0,5.0
2770,2026-02-27,5,San Isidro,Pizza,70.36,23.0,
2595,2025-10-28,14,San Isidro,Comida rápida,16.91,23.0,5.0
2323,2025-09-21,19,Surco,Saludable,59.93,37.0,4.0
2300,2025-08-10,20,San Borja,Pizza,65.56,47.0,2.0
197,2026-03-14,3,Miraflores,Postres,39.18,20.0,5.0
1910,2025-05-24,19,Miraflores,Comida rápida,38.54,33.0,4.0
171,2025-09-05,14,Surco,Pizza,47.6,16.0,5.0
299,2025-07-07,11,San Borja,Postres,26.76,36.0,4.0
2827,2026-03-12,13,Surco,Postres,19.99,49.0,3.0
89,2026-01-07,13,San Borja,Saludable,33.18,50.0,4.0
1481,2026-02-17,20,Miraflores,Pizza,59.4,41.0,4.0
830,2026-04-25,13,Surco,Criolla,38.88,42.0,2.0
271,2025-12-19,23,Surco,Postres,26.02,43.0,3.0
2923,2026-04-09,4,Surco,Postres,29.41,38.0,4.0
1048,2025-07-01,13,Surco,Pizza,47.83,50.0,4.0
811,2026-03-26,18,Miraflores,Criolla,43.83,27.0,3.0
651,2025-11-06,11,San Isidro,Comida rápida,33.74,40.0,
1115,2025-08-23,14,Miraflores,Postres,19.95,28.0,4.0
2636,2026-01-11,21,San Isidro,Pizza,73.53,28.0,4.0
1238,2025-09-09,11,Surco,Postres,29.74,40.0,3.0
153,2025-10-07,22,San Borja,Pizza,60.68,11.0,5.0
1741,2025-05-21,12,Surco,Comida rápida,58.27,32.0,3.0
2286,2026-01-19,20,La Molina,Criolla,42.93,60.0,1.0
1658,2025-05-23,11,San Isidro,Criolla,53.15,50.0,3.0
1411,2025-12-03,11,Miraflores,Comida rápida,35.64,33.0,4.0
290,2025-09-30,20,Miraflores,Comida rápida,32.04,43.0,3.0
1818,2025-07-31,11,Miraflores,Criolla,59.35,26.0,5.0
2935,2025-10-01,5,Surco,Saludable,41.51,35.0,3.0
1269,2025-07-27,18,San Borja,Saludable,66.17,50.0,2.0
2789,2025-06-30,15,Miraflores,Comida rápida,45.46,37.0,4.0
2105,2026-04-09,19,Miraflores,Comida rápida,37.59,23.0,5.0
450,2025-08-04,13,Miraflores,Criolla,41.86,43.0,4.0
1967,2025-12-15,18,Miraflores,Pizza,70.59,33.0,4.0
931,2025-12-22,18,Surco,Criolla,27.48,34.0,4.0
258,2026-01-18,12,San Isidro,Criolla,14.79,50.0,3.0
1217,2025-09-18,19,Miraflores,Criolla,54.16,,4.0
1622,2026-03-19,19,Miraflores,Saludable,47.31,22.0,5.0
683,2026-03-26,19,San Isidro,Saludable,57.66,46.0,4.0
2229,2025-07-08,18,San Borja,Saludable,56.13,30.0,3.0
2442,2025-09-26,14,Miraflores,Pizza,61.32,34.0,4.0
1715,2025-05-07,20,Miraflores,Criolla,56.25,39.0,3.0
68,2026-03-06,12,La Molina,Comida rápida,24.12,47.0,4.0
1456,2025-11-15,11,Miraflores,Saludable,51.08,21.0,4.0
2583,2025-10-16,13,San Borja,Pizza,65.87,49.0,3.0
2448,2026-01-07,12,San Borja,Comida rápida,39.81,32.0,4.0
2769,2026-01-06,13,Miraflores,Criolla,56.38,31.0,4.0
1641,2026-01-24,21,Miraflores,Pizza,26.8,28.0,4.0
1100,2025-12-14,17,La Molina,Saludable,38.46,51.0,3.0
737,2025-10-24,13,La Molina,Pizza,62.06,42.0,4.0
512,2026-03-19,14,San Isidro,Saludable,29.13,36.0,5.0
1872,2025-07-26,19,Surco,Criolla,52.3,37.0,4.0
424,2026-03-07,20,Miraflores,Saludable,46.33,43.0,3.0
1152,2025-06-20,13,La Molina,Pizza,43.71,71.0,2.0
1610,2026-03-12,18,Miraflores,Criolla,47.41,30.0,4.0
125,2025-12-13,12,San Isidro,Criolla,47.26,24.0,4.0
2506,2025-07-21,12,Surco,Criolla,60.06,51.0,3.0
1160,2025-08-09,20,San Isidro,Pizza,65.81,38.0,4.0
507,2025-10-10,20,Miraflores,Pizza,48.61,27.0,5.0
2041,2026-02-25,12,San Isidro,Comida rápida,37.2,33.0,4.0
1374,2026-02-16,14,San Isidro,Criolla,44.07,24.0,5.0
2308,2026-02-24,22,Miraflores,Comida rápida,20.42,25.0,5.0
1038,2025-12-15,22,Surco,Postres,26.13,28.0,5.0
2645,2026-01-13,13,San Borja,Postres,18.41,35.0,
1150,2025-07-31,12,La Molina,Postres,28.01,50.0,2.0
19,2026-01-13,20,Surco,Criolla,67.98,43.0,3.0
613,2025-11-10,15,San Isidro,Criolla,46.43,29.0,
1787,2025-11-30,7,Miraflores,Comida rápida,18.07,,4.0
2906,2025-08-06,14,Miraflores,Comida rápida,30.34,39.0,4.0
2031,2026-02-09,12,San Borja,Pizza,76.21,44.0,3.0
1761,2025-06-29,20,San Borja,Comida rápida,32.4,32.0,4.0
595,2025-12-01,21,San Isidro,Pizza,38.71,42.0,4.0
991,2025-06-16,13,San Isidro,Saludable,33.25,,4.0
2524,2025-08-05,13,San Borja,Comida rápida,38.08,45.0,3.0
292,2026-04-03,12,San Borja,Comida rápida,23.49,39.0,3.0
1873,2025-05-12,20,San Isidro,Pizza,43.41,36.0,5.0
1804,2025-12-03,22,Surco,Postres,29.04,33.0,5.0
81,2026-02-20,3,La Molina,Postres,23.83,39.0,5.0
2685,2026-02-26,20,San Borja,Criolla,64.12,40.0,
1980,2026-03-28,13,Surco,Postres,18.91,46.0,3.0
943,2026-02-13,21,Surco,Saludable,44.66,32.0,3.0
1357,2025-12-05,12,San Borja,Pizza,68.06,35.0,5.0
409,2026-01-26,13,San Borja,Criolla,47.9,34.0,5.0
1802,2025-05-11,12,Surco,Comida rápida,32.92,40.0,
941,2026-04-30,12,Surco,Pizza,45.52,52.0,3.0
2315,2025-08-14,11,Surco,Saludable,43.28,42.0,3.0
2160,2026-01-30,10,San Isidro,Pizza,48.2,,3.0
369,2025-08-12,19,Surco,Pizza,58.16,41.0,3.0
1726,2025-06-08,19,San Isidro,Saludable,42.32,40.0,4.0
858,2026-02-25,21,La Molina,Criolla,57.86,49.0,3.0
1492,2025-08-16,21,La Molina,Pizza,54.34,49.0,2.0
142,2025-12-27,18,Surco,Comida rápida,21.28,17.0,5.0
2116,2026-03-01,20,San Borja,Comida rápida,26.02,47.0,3.0
2881,2025-07-26,14,Miraflores,Criolla,49.76,32.0,4.0
820,2025-12-21,19,Surco,Comida rápida,40.89,39.0,5.0
1111,2026-03-28,21,Miraflores,Criolla,68.12,14.0,5.0
556,2026-02-03,14,Miraflores,Postres,19.28,37.0,5.0
860,2026-02-06,20,San Borja,Comida rápida,31.98,51.0,3.0
2397,2026-02-13,13,Miraflores,Pizza,55.59,35.0,4.0
2072,2025-09-24,13,Surco,Saludable,56.05,41.0,2.0
600,2025-12-25,13,San Isidro,Pizza,51.59,40.0,4.0
1713,2026-01-06,14,La Molina,Criolla,53.74,39.0,4.0
178,2025-08-24,14,San Borja,Postres,30.61,17.0,5.0
1484,2026-04-29,14,San Borja,Pizza,74.37,35.0,5.0
1695,2026-04-17,12,Miraflores,Criolla,37.17,35.0,3.0
1704,2025-08-28,12,San Isidro,Saludable,43.38,38.0,3.0
2128,2026-03-24,22,Surco,Pizza,63.76,28.0,4.0
2784,2025-07-14,20,Surco,Criolla,47.34,51.0,3.0
184,2026-03-14,12,Miraflores,Pizza,49.37,32.0,4.0
1344,2025-06-03,11,Surco,Criolla,53.29,33.0,5.0
1324,2026-04-24,20,Surco,Comida rápida,21.57,49.0,4.0
868,2025-08-15,12,Surco,Comida rápida,32.15,41.0,3.0
2581,2025-07-17,12,Surco,Comida rápida,48.85,54.0,3.0
2574,2025-09-13,22,Miraflores,Pizza,60.52,40.0,4.0
671,2025-09-24,19,San Borja,Criolla,45.48,33.0,4.0
1728,2026-02-09,12,San Borja,Criolla,61.3,37.0,4.0
1090,2026-03-18,13,Surco,Pizza,76.93,25.0,5.0
2723,2025-11-04,14,La Molina,Comida rápida,47.75,41.0,3.0
1874,2025-05-25,19,San Borja,Comida rápida,22.66,32.0,3.0
1261,2025-12-15,20,Miraflores,Comida rápida,39.74,31.0,3.0
163,2025-09-11,13,San Isidro,Comida rápida,19.39,42.0,2.0
2449,2025-08-05,12,Miraflores,Saludable,20.6,18.0,5.0
2947,2025-06-27,0,Surco,Comida rápida,32.74,37.0,3.0
1254,2026-01-02,5,La Molina,Pizza,52.63,55.0,3.0
2532,2026-01-02,13,San Borja,Postres,23.73,47.0,3.0
2864,2025-07-09,20,Miraflores,Criolla,51.29,40.0,5.0
1879,2025-06-24,20,San Isidro,Saludable,61.05,31.0,3.0
31,2025-06-28,18,San Isidro,Saludable,50.31,32.0,4.0
458,2025-11-08,18,Miraflores,Saludable,38.11,44.0,3.0
434,2026-03-15,13,San Isidro,Postres,20.52,26.0,4.0
818,2025-11-21,14,Miraflores,Saludable,44.43,35.0,3.0
174,2025-11-06,20,San Isidro,Comida rápida,43.77,31.0,5.0
1922,2025-08-25,19,San Borja,Criolla,40.33,52.0,3.0
297,2025-10-16,12,Miraflores,Saludable,45.32,36.0,3.0
326,2025-05-04,13,La Molina,Criolla,70.01,52.0,3.0
1214,2026-03-23,9,Surco,Criolla,51.64,19.0,5.0
2949,2025-05-26,12,Miraflores,Comida rápida,12.0,29.0,5.0
946,2025-11-14,19,San Isidro,Pizza,45.13,35.0,4.0
745,2025-09-10,21,San Isidro,Comida rápida,41.13,43.0,3.0
1223,2026-02-09,20,La Molina,Pizza,61.23,,2.0
795,2026-02-10,12,La Molina,Criolla,27.15,37.0,4.0
1427,2025-06-13,16,Miraflores,Pizza,45.43,28.0,4.0
2752,2025-05-30,11,Surco,Saludable,25.96,40.0,4.0
1363,2025-10-20,12,San Isidro,Criolla,37.39,31.0,3.0
1588,2026-01-22,19,San Borja,Comida rápida,20.04,30.0,4.0
1098,2025-10-06,20,San Borja,Pizza,57.22,44.0,3.0
2269,2025-12-18,13,La Molina,Criolla,22.05,54.0,4.0
2093,2026-03-20,20,Miraflores,Comida rápida,36.19,31.0,4.0
74,2026-01-25,12,Miraflores,Postres,17.92,29.0,3.0
2948,2026-02-08,16,San Borja,Saludable,37.8,28.0,5.0
2329,2025-08-12,19,La Molina,Saludable,47.95,53.0,3.0
1362,2026-03-05,21,La Molina,Criolla,47.14,51.0,4.0
1781,2025-12-22,18,Miraflores,Pizza,57.01,36.0,3.0
1162,2025-08-18,18,La Molina,Criolla,41.71,33.0,4.0
1451,2025-05-26,13,Miraflores,Pizza,72.66,31.0,5.0
1938,2025-05-21,7,Surco,Pizza,30.67,29.0,4.0
2883,2026-03-01,12,San Isidro,Postres,19.3,50.0,2.0
1746,2025-09-24,14,La Molina,Pizza,66.92,40.0,4.0
603,2025-07-13,12,Surco,Comida rápida,39.95,40.0,4.0
472,2025-08-02,18,Surco,Postres,25.11,26.0,4.0
2444,2025-10-03,20,Surco,Comida rápida,35.35,41.0,4.0
963,2025-06-05,12,La Molina,Comida rápida,28.07,73.0,1.0
2518,2025-08-28,12,Miraflores,Comida rápida,38.39,25.0,4.0
568,2025-10-24,12,Miraflores,Comida rápida,43.16,22.0,5.0
2272,2025-10-11,20,San Isidro,Comida rápida,34.05,37.0,3.0
2388,2025-09-07,18,Surco,Postres,24.17,35.0,5.0
1834,2026-04-24,18,Miraflores,Criolla,35.81,32.0,5.0
1587,2025-08-06,13,Surco,Comida rápida,28.52,,2.0
1602,2025-12-12,17,San Isidro,Postres,22.05,20.0,5.0
325,2025-09-24,19,Surco,Comida rápida,41.42,35.0,3.0
1065,2025-09-20,20,San Isidro,Comida rápida,31.01,40.0,3.0
2941,2025-07-18,12,San Borja,Comida rápida,26.59,42.0,2.0
681,2025-09-21,17,La Molina,Pizza,57.86,64.0,3.0
486,2026-01-01,13,La Molina,Comida rápida,23.74,60.0,1.0
2255,2025-10-14,21,San Borja,Comida rápida,39.19,33.0,3.0
2132,2025-10-01,19,Surco,Saludable,42.41,46.0,2.0
679,2025-06-23,20,Miraflores,Comida rápida,41.18,42.0,4.0
1617,2025-12-10,21,San Borja,Comida rápida,26.41,21.0,5.0
1712,2025-10-11,12,San Isidro,Criolla,50.42,36.0,3.0
240,2026-01-14,19,La Molina,Saludable,35.81,53.0,3.0
2690,2025-05-13,19,Miraflores,Comida rápida,41.19,37.0,4.0
2187,2026-03-08,12,La Molina,Pizza,31.65,64.0,1.0
2776,2026-01-15,18,San Isidro,Postres,17.23,34.0,
2477,2025-12-05,18,San Isidro,Criolla,86.24,27.0,3.0
1861,2025-07-23,12,Miraflores,Criolla,53.51,49.0,3.0
1740,2025-07-31,14,Miraflores,Criolla,32.0,23.0,4.0
1175,2026-02-15,14,San Borja,Pizza,60.05,18.0,
882,2026-02-27,20,Miraflores,Saludable,39.76,34.0,4.0
1062,2026-04-18,19,Miraflores,Criolla,59.39,38.0,5.0
2814,2025-07-29,12,La Molina,Comida rápida,26.05,55.0,
412,2026-01-19,19,Miraflores,Criolla,48.68,40.0,4.0
1134,2026-04-28,2,San Borja,Comida rápida,24.65,21.0,5.0
